airport_node,page_rank_value
ORD,45.316867928711964
DEN,42.57875579395185
DFW,33.58704461057069
ATL,33.419132183192716
ANC,30.808857366921195
LAX,28.75991050563562
PHX,28.71297550551396
BET,27.97994002305999
CLT,27.605799826542512
LAS,24.986110619862313
MCO,24.665669859282765
IAH,24.296303701872034
FAI,23.831640890094384
SEA,23.81838641591328
MSP,23.66069240924159
DTW,23.076512802012992
PHL,22.923914990200586
MEM,22.6926966272879
EWR,21.422290809887688
SLC,20.55430473052274
FLL,20.295225034596324
MIA,17.51266883315639
SDF,17.356055675083255
TPA,16.858287064522983
IAD,16.419218468641176
SFO,15.70471553435717
CVG,14.829927238666558
BOS,14.769373553936047
JFK,13.857142684921973
BNA,13.035346544335018
WFB,12.918987059532466
BWI,12.38321460761478
IND,12.298311978866158
PDX,12.251834885193908
A43,10.948283480772435
ONT,10.836545065330766
RSW,10.744663942909982
AUS,10.531614564312182
OME,10.195879775286006
RDU,9.995088104933465
STL,9.89336056504809
OAK,9.289826931087848
MSY,9.130316063069973
OTZ,8.734970119462245
DCA,8.689638610069878
SAN,8.498899748645286
LGA,8.48956999143001
SAT,8.387293337559802
MCI,8.24753721289775
PIT,8.018058585198697
CLE,7.965871015208896
MDW,7.758997827823512
HNL,7.474868197572834
HOU,7.364451194662817
AKN,7.233351651383667
SMF,7.206791388438676
PBI,7.183752323986667
SJU,7.141784722203749
JNU,6.6493756063414375
MKE,6.61523884516283
DAL,6.591979233126467
SJC,6.471170911396888
ANI,6.00042995610163
DLG,5.706738657091235
CMH,5.635686928958881
BDL,5.513619541114905
ADQ,5.357962335240361
SFB,5.266807583526154
JAX,5.240875661897161
RNO,5.089096755387393
SNA,4.936241245320743
VNY,4.930283949971079
RIC,4.922944918250838
OMA,4.873810904469941
BOI,4.802235899172919
BUF,4.656737183621602
ELP,4.6061167700893355
GEG,4.59343034483591
OKC,4.481454940978833
TEB,4.354458417117288
CHS,4.306320129946302
RFD,4.259446036057493
SRQ,4.253511855330382
UNK,4.250643251411871
DUT,4.2327901324967145
GPT,4.2061975618776355
ORF,4.15048962983109
HPN,4.137712775888272
PSP,4.046123682512689
ABQ,3.9303372080889103
UAM,3.9067363350236315
DSM,3.877296058673049
OGG,3.8348472260875517
AZA,3.827280022140661
EMK,3.7558362258270264
GRR,3.7376232906261455
GSO,3.705856395102995
ILI,3.6920981508847595
KKB,3.6453774267228845
SCC,3.6218703992972636
TUL,3.561111313967875
TYS,3.4861018402288644
SYR,3.386137293377539
GAL,3.377845644142566
BZN,3.26498036372948
TUS,3.233131729491614
BRW,3.200705642976239
PIE,3.157490269767442
FYU,3.1304310423463404
CDB,3.09820719804786
YIP,3.0925870010324674
PGD,3.077389204925602
KOA,2.854151260256585
SAV,2.8341231243492646
OPF,2.8331587883554867
KSM,2.723781985427393
PVD,2.708783929657222
VEE,2.65749495133523
CGA,2.6518255525112457
FAR,2.6312797414895877
KTB,2.6221780285280554
BUR,2.593954605243002
MSN,2.59229593451189
GSP,2.5667658509233298
AFW,2.5418047544021993
HOM,2.525348947786116
MDT,2.5139296428524585
ALB,2.500091985067034
BIL,2.4598030274505933
STT,2.4094510538186826
FAT,2.403759961974175
LIT,2.401035593547476
IFP,2.3998981573336717
LBB,2.3819903879297084
COS,2.374772555325766
CID,2.3717768521492686
SIT,2.367173577120188
FSD,2.365170809527368
BLD,2.3368314483323513
JAC,2.273278472301003
ICT,2.260995427993639
PNS,2.169331993859841
WTL,2.156991398019559
BHM,2.129269075102882
LRD,2.1210653134921174
PWM,2.084407062540827
ROC,2.072721422631004
CAE,2.065009717832241
BED,2.054051917334652
SPN,2.0312025972481207
SNP,2.012733690440404
SBN,2.0090450666899247
BID,1.9945251124455161
WST,1.9945251124455161
SSB,1.9945251124455161
SPB,1.9945251124455161
EEK,1.9871816706132268
LEX,1.9774094443227284
1G4,1.963736178652736
HUS,1.9415856074581626
OOK,1.9330552409177615
MRI,1.9307332706744982
KTN,1.8686123505197152
PQS,1.8570042382630652
ALZ,1.8529899062879058
KPR,1.8523884293562036
AEX,1.8367402158844472
